year,month,total_sales,avg_sales,total_onpromotion,avg_oil,total_transactions
2013,1,10327624.7369095,186.95240463613735,0,94.72347826086956,2289558.0
2013,2,9658959.7774368,193.581845787975,0,95.341,2169615.0
2013,3,11428497.0374875,206.88058067208829,0,93.14333333333333,2458683.0
2013,4,10993464.7380118,205.63907104399178,0,92.02136363636363,2344905.0
2013,5,11597704.007026799,209.9435937697187,0,94.4804347826087,2467465.0
2013,6,11689344.0622436,218.65589342019453,0,95.77250000000001,2392206.0
2013,7,11257400.6076808,203.78336424605916,0,104.55130434782608,2401968.0
2013,8,11737788.9194727,212.4794344787064,0,106.57272727272726,2461139.0
2013,9,11792933.2318679,220.59358832525064,0,106.37,2380462.0
2013,10,11775620.3605191,213.1642656044151,0,100.53826086956522,2408440.0
2013,11,12356559.2929861,231.13653746700524,0,93.77761904761904,2369866.0
2013,12,15803117.1479746,295.60638136877293,0,97.6252380952381,2962866.0
2014,1,18911640.7014034,342.34170923216755,0,94.74304347826087,2393528.0
2014,2,12038352.6339783,241.26889197487372,0,100.792,2278167.0
2014,3,20365584.016477,368.6612363143442,0,100.80380952380953,2545427.0
2014,4,12861251.057149401,240.57708674054248,1939,102.17181818181817,2455666.0
2014,5,13379785.2611975,242.2031291625484,11575,102.3059090909091,2503262.0
2014,6,13319958.1730016,249.15746676022448,21496,105.7942857142857,2399144.0
2014,7,19421891.0438224,351.57834697915354,69665,103.63956521739131,2442341.0
2014,8,13885176.419054199,251.35180513113573,42940,96.53619047619047,2537572.0
2014,9,20022416.1138096,374.53079150410775,71659,93.42318181818182,2449131.0
2014,10,20396101.3141771,369.21366558374245,76899,84.39695652173914,2503310.0
2014,11,20531635.2036432,384.05602700417506,71034,75.685,2450298.0
2014,12,24340454.3638302,455.3021766522671,91907,59.29045454545455,3049083.0
2015,1,14896922.0571985,269.666595293409,53148,47.559999999999995,2489059.0
2015,2,13742395.8483812,275.4207922154321,40744,50.688,2345984.0
2015,3,15598607.5183553,282.3686238433674,42360,47.82363636363636,2625500.0
2015,4,14955068.1707755,279.74313824869995,54375,54.2109090909091,2533355.0
2015,5,17730368.244309,320.9581160042902,62882,59.24666666666667,2673911.0
2015,6,21615360.3512421,404.3277282312402,97827,59.819545454545455,2530903.0
2015,7,22209619.0387389,402.042269265032,112742,51.16304347826087,2604784.0
2015,8,22963674.241281502,415.69230370517903,105614,42.86761904761905,2675057.0
2015,9,23240882.4779112,434.7340530847587,140873,45.50409090909091,2545252.0
2015,10,23878267.6645621,432.2484280902592,115220,46.22363636363636,2610484.0
2015,11,22804953.3682112,426.57974875067714,128497,42.385238095238094,2528193.0
2015,12,27243981.6737737,509.61432236763375,132993,37.18863636363636,3149888.0
2016,1,23977804.8854341,434.0502676484215,119578,31.836190476190477,2371205.0
2016,2,21947408.8010028,424.69539844813653,183541,30.275238095238095,2465798.0
2016,3,23131780.8838199,418.7353984978802,181790,37.57217391304348,2607658.0
2016,4,25963025.1019622,485.65329408833145,215312,40.7552380952381,2631797.0
2016,5,24779432.2602277,448.5614615732178,370019,46.83272727272727,2666157.0
2016,6,22209218.5803836,415.43618743702956,285416,48.75727272727273,2491063.0
2016,7,23462672.4331036,424.7252531244995,264605,44.85952380952381,2594087.0
2016,8,22452414.3178949,406.437390353262,271592,44.72434782608696,2536111.0
2016,9,22417448.0969967,419.33124012339505,296361,45.14636363636364,2436974.0
2016,10,24030389.816292,435.00216893472356,370514,49.775238095238095,2526000.0
2016,11,24642640.1973935,460.95473620264687,438358,45.70909090909091,2529516.0
2016,12,29640287.5793851,554.4386004374318,517498,51.97227272727273,3195971.0
2017,1,26328159.9357051,476.5967911318399,363428,52.55409090909091,2612848.0
2017,2,23250112.3749368,465.97146815249323,297254,53.4655,2448370.0
2017,3,26704017.6908793,483.4006316005811,339291,49.32782608695652,2680645.0
2017,4,25895308.489555098,484.3866159662383,371042,51.167,2667808.0
2017,5,26911847.250593,487.16279733885455,414646,48.52434782608695,2801884.0
2017,6,25682822.1249936,480.41193649445563,394582,45.177727272727275,2668863.0
2017,7,27011477.5658307,488.96632210692405,409128,46.57238095238095,2784026.0
2017,8,12433322.9407775,465.14489116264497,160278,48.902727272727276,1335692.0
